ts,ts_iso,mint,wallet,side,token_amt,sig
1768849681,2026-01-20T03:08:01+08:00,9R4zqfeasqeEKCEQxX89gbK5dXvkYegNxHmnZWjTpJWY,5aYArCR1YTfmWt9PQJGNoW5YG7BZMVgH794iM4HYmZNZ,SELL,127853.988382,2TXZRSrbypL6GYhMKfvQW2jZN9MMF8sMSf44UQjd5szkspFuTjAxJgsGcVqPvHWHQFabRNg8ugJaAWKmWjsBxcxh
1768849681,2026-01-20T03:08:01+08:00,9R4zqfeasqeEKCEQxX89gbK5dXvkYegNxHmnZWjTpJWY,DRpgwVyUpF2CL4QLgXae2MqDWoyRzM8Y5z6y6n7MynJH,BUY,5110.267595,4odukadTQbibEt19gNftv5nofg3e8pS5d3wuokvhJSdmEXWcERWoYLWbZxChs24CasqHcLQHMmVQiCFKow78i1T5
1768849681,2026-01-20T03:08:01+08:00,9R4zqfeasqeEKCEQxX89gbK5dXvkYegNxHmnZWjTpJWY,DRpgwVyUpF2CL4QLgXae2MqDWoyRzM8Y5z6y6n7MynJH,SELL,5110.267595,4odukadTQbibEt19gNftv5nofg3e8pS5d3wuokvhJSdmEXWcERWoYLWbZxChs24CasqHcLQHMmVQiCFKow78i1T5
1768849681,2026-01-20T03:08:01+08:00,9R4zqfeasqeEKCEQxX89gbK5dXvkYegNxHmnZWjTpJWY,FPTdbtQZBVwJE7K8VuLFDBzPSScJDUAVgtRHktrFgPrN,BUY,177106.650888,2EtWx24qACmABcHXxvzx5hhSpUYxy5nwk2qJnqCUpgkcTX9ooQCdncPZMkto8unHSD2M4ugJwJCxwCfVhCcvd45g
1768849681,2026-01-20T03:08:01+08:00,9R4zqfeasqeEKCEQxX89gbK5dXvkYegNxHmnZWjTpJWY,SubitgYc33GCYvLeucgcaTMVqFrTht1TCsQJY38army,BUY,336.043166,3KjSz8gtMkVii4Q8R2Ch6JZhGew3XaFScmDsMWN3GcPNb6kujgMEEPdC2EtMUybAjufbp4g8Qnf86X2AKuFYyc7
1768849681,2026-01-20T03:08:01+08:00,9R4zqfeasqeEKCEQxX89gbK5dXvkYegNxHmnZWjTpJWY,SubitgYc33GCYvLeucgcaTMVqFrTht1TCsQJY38army,SELL,336.043166,3KjSz8gtMkVii4Q8R2Ch6JZhGew3XaFScmDsMWN3GcPNb6kujgMEEPdC2EtMUybAjufbp4g8Qnf86X2AKuFYyc7
1768849688,2026-01-20T03:08:08+08:00,9R4zqfeasqeEKCEQxX89gbK5dXvkYegNxHmnZWjTpJWY,5KfWk8E5MfDYTpB43zDVRG7MV1L4tDwx6ozDhP5yS8uU,SELL,35433.10135,21SzUTxTnxoBJU9GU7YjhFF47aGib9cEUyacFJxu92gxrm916EaGwg8i2ti4nNCCWYyrWPA5frMYbWhfMrAHA2CS
1768849697,2026-01-20T03:08:17+08:00,9R4zqfeasqeEKCEQxX89gbK5dXvkYegNxHmnZWjTpJWY,CmX16k1MjqjzGKn15oSvUr5x1w17mJkHzRLZaAb6yQde,BUY,58536.30844,Ye7K5bXRd4AV5BSDaQveApVrRJWwTKkvgeAi2rF2pQohcwvrof66jNdwJq1Uos1QhdSsxThbZNcpaGtbnp1XsMb
1768849697,2026-01-20T03:08:17+08:00,9R4zqfeasqeEKCEQxX89gbK5dXvkYegNxHmnZWjTpJWY,Hh9WEgdp91hXFJwXbBGPXkkTxyka4VZfjCd9PsD5LPxk,SELL,8916.262866,57ZJoCpGWsZrWYRv6pZqm2ueR5iERD6UPNP4S24ntwbwVwaKy8gmobZZXPvzksGELkeDuZtZtNEEoCyWe4FBYNWH
1768849700,2026-01-20T03:08:20+08:00,9R4zqfeasqeEKCEQxX89gbK5dXvkYegNxHmnZWjTpJWY,5KfWk8E5MfDYTpB43zDVRG7MV1L4tDwx6ozDhP5yS8uU,SELL,15185.614865,44c2TpD6TbJui7FtHwBZKwEmbFWUPGFHkaez3d7giDMu78Ux9zUja67SYMZhGfMAzwEQW7JKdXgUiVds93ceXfQP
