ts_min_iso	events	unique_wallets	new_wallets	buy_vol	sell_vol	net_vol	sell_buy_ratio	top1_share	top5_share	symmetry_share	flip_b2s	flip_s2b	top1_buy_share_1m	top1_buyer_wallet_1m	actor_top1_dominant_1m	top1_persistent_3m	top1_persistent_wallet_3m
2026-01-20T03:08:00+08:00	23	17	17	1373315.54	1050851.23	322464.31	0.765	0.417	0.773	0.042	3	0	0.736	Dn6o44pM9k9umfc4JLNLW9eQeoDgNPyd394UQ16VfHEA	1	0	
2026-01-20T03:09:00+08:00	10	8	7	223537.53	36284.19	187253.34	0.162	0.678	0.906	0.040	0	0	0.788	7RHy4dxsBYURLVjLY5YA1BWuaBMTA3HCbLKqnF4EbZEZ	1	0	
2026-01-20T03:10:00+08:00	20	17	15	2959414.58	5302915.14	-2343500.56	1.792	0.593	0.919	0.000	3	0	0.265	5d5apSDc6U3dF3kvuD2VwXURa5tpAR64bTfsbfjSAWgE	0	0	
2026-01-20T03:11:00+08:00	26	19	17	2785453.84	10337484.25	-7552030.41	3.711	0.431	0.832	0.019	2	0	0.264	13H2M1C3w2pwr6oYf6ZKcPGNut6mQedRAFzCpMF2iGJK	0	0	
2026-01-20T03:12:00+08:00	10	9	8	118380.97	602790.92	-484409.95	5.092	0.280	0.811	0.054	2	0	0.338	4JqPSij4DQrGhn4dUPePCBEdzuYvavGeLrDbo5ZW4Ji2	0	0	
2026-01-20T03:13:00+08:00	12	9	8	5635728.84	116154.51	5519574.33	0.021	0.382	0.933	0.000	0	0	0.389	GvzUAiVvqxiavW3Q3EujgFbDXv13uufYgoaS1CJXSgab	0	0	
2026-01-20T03:14:00+08:00	11	10	10	630921.08	364088.62	266832.47	0.577	0.389	0.949	0.002	1	0	0.613	4ogqcq1a2JBSeQzhH5KPobJBJxjKXuJiLta8J7dwfWHX	1	0	
2026-01-20T03:15:00+08:00	8	8	8	449189.56	1207183.69	-757994.12	2.687	0.646	0.988	0.000	0	0	0.466	D2cTaKye33thfNNpbW7wYkVKihHK8nsCyiWnzvB8bpTH	0	0	
2026-01-20T03:16:00+08:00	13	12	11	1001982.86	374628.39	627354.47	0.374	0.287	0.819	0.000	0	1	0.394	Ds9hQ5ym4Hs73SeRZYLEoTsrU95h5PZGuRnu8esUmhMF	0	0	
2026-01-20T03:17:00+08:00	5	5	4	507936.70	632535.87	-124599.17	1.245	0.372	1.000	0.000	0	0	0.672	9u6E9LRx3w3Ng2fmEot6TFY6vCBvNtT3okwdpQRzHWji	1	0	
2026-01-20T03:18:00+08:00	21	15	15	1937605.63	3503789.66	-1566184.03	1.808	0.433	0.914	0.201	2	0	0.399	ESTMLLYfrScdk5zbHUZbK8M4N2P7zmfGH2GA1Jjyrad7	0	0	
2026-01-20T03:19:00+08:00	14	11	9	2183882.76	1287250.96	896631.80	0.589	0.444	0.924	0.000	2	0	0.706	CmX16k1MjqjzGKn15oSvUr5x1w17mJkHzRLZaAb6yQde	1	0	
2026-01-20T03:20:00+08:00	19	15	14	11388634.22	2922521.22	8466113.00	0.257	0.642	0.931	0.000	0	0	0.806	BWAPhpZN5sTorKtnd9p9huviz1Kq9QSBmQpFSunEENQG	1	0	
2026-01-20T03:21:00+08:00	15	15	14	734517.62	1723440.66	-988923.04	2.346	0.252	0.760	0.000	0	0	0.644	9gtA83eRmMNMo3A9h48kVDbd4tBPmw5T6WLpnWCLiWt5	1	0	
2026-01-20T03:22:00+08:00	14	13	12	2206856.88	5842195.46	-3635338.58	2.647	0.555	0.874	0.082	2	0	0.425	7jDVmS8HBdDNdtGXSxepjcktvG6FzbPurZvYUVgY7TG5	0	0	
2026-01-20T03:23:00+08:00	12	10	10	1784154.02	3028221.73	-1244067.72	1.697	0.509	0.896	0.106	2	0	0.441	kEFiAX3jo5NmemysQov342TZ9mGh6yp92GDRjhA8XDf	0	0	
2026-01-20T03:24:00+08:00	26	18	15	1613957.48	2906716.05	-1292758.57	1.801	0.454	0.794	0.020	1	0	0.335	h5u3QdDvoRsF3w9DGzAay5oyfz2Tj5F2EgR3AQoUCwF	0	0	
2026-01-20T03:25:00+08:00	28	25	22	1325456.34	6027486.15	-4702029.81	4.547	0.561	0.818	0.035	2	1	0.410	8MPyKcgnWRPrpWVeuNpEvfthDrzX1fnPvGnSHvkJmeUN	0	0	
2026-01-20T03:26:00+08:00	9	8	8	1364796.63	320388.17	1044408.46	0.235	0.646	0.987	0.000	0	0	0.797	8yooL5xot1LVJCALk8aP3rmz345JaXiymirKEnN5uQWn	1	0	
2026-01-20T03:27:00+08:00	26	22	19	1779300.59	7422036.02	-5642735.43	4.171	0.406	0.872	0.013	4	0	0.312	8eqCYtasYDLFnRPYuiwuyoTFzFQd1hXhZ8oWwv3c2o5t	0	0	
2026-01-20T03:28:00+08:00	17	16	12	3761419.89	475590.45	3285829.45	0.126	0.578	0.934	0.000	2	2	0.651	7tgrBHBGhgPffjkSnXzjoC2firQ76AxtZXoNyRmDKGGx	1	0	
2026-01-20T03:29:00+08:00	74	50	42	26631766.70	12401495.48	14230271.21	0.466	0.273	0.576	0.151	11	2	0.400	Xh2Y84WN8t3ZEKbwkDRT1ap5thJUAf3Ndv44wbbEXxX	0	0	
2026-01-20T03:30:00+08:00	40	29	25	5196181.71	2236531.94	2959649.77	0.430	0.183	0.631	0.039	6	1	0.157	EpYQKm6YTTB1KgGRiQc8iubi2wUkx1vwUgaA3cHa7yom	0	0	
2026-01-20T03:31:00+08:00	32	24	19	3764991.15	1663962.97	2101028.18	0.442	0.209	0.652	0.000	0	1	0.301	q9ZMjPrDTd2jAxoPoPUNH8Qor19JNPBjyri9MjZvZEp	0	0	
2026-01-20T03:32:00+08:00	25	24	16	2318253.46	5983022.01	-3664768.55	2.581	0.294	0.745	0.000	0	2	0.287	STorreSu8X6yPLmiEScNHSGDinqV7j84hWjmvH9SPwk	0	0	
2026-01-20T03:33:00+08:00	19	16	9	3019263.47	2936709.89	82553.58	0.973	0.334	0.904	0.163	1	0	0.343	8ff1nPnK3Dyv6AWwyWvYzrs18e2FkYNLSg4xf1cQ7zYj	0	0	
2026-01-20T03:34:00+08:00	15	13	10	1500528.12	654609.54	845918.59	0.436	0.312	0.844	0.000	1	0	0.448	3BLevp1Tm8S5SPqeyFsaZRkiXmS6N4EE9zNKWTDXWfBt	0	0	
2026-01-20T03:35:00+08:00	12	12	10	1184743.49	330832.90	853910.59	0.279	0.398	0.911	0.000	0	0	0.509	A1WrrkWvcjnz28XBhGJs5rBHgWBCY8ZLpE7kytQWLoPP	0	0	
2026-01-20T03:36:00+08:00	12	8	5	1187602.63	989519.27	198083.35	0.833	0.322	0.946	0.231	1	1	0.384	ARU3Va9KNo2HS7o4BA3vdgHDvbHzE6nkk5M1Luusgvk	0	0	
2026-01-20T03:37:00+08:00	16	13	10	1066544.17	1140310.45	-73766.28	1.069	0.374	0.860	0.079	1	0	0.773	GMw12x43Wa5rRtqpjEtbGzAkmbqSmsohm3V3RLbHT3UG	1	0	
2026-01-20T03:38:00+08:00	23	20	13	2233532.20	5702925.25	-3469393.05	2.553	0.480	0.854	0.059	3	0	0.419	FX6HXThci5NwyxfK68bJGJR1dcQSpPx4yQJ7xLibQqoT	0	0	
2026-01-20T03:39:00+08:00	36	27	14	2853342.51	7771232.83	-4917890.32	2.724	0.250	0.663	0.058	5	1	0.265	STorreSu8X6yPLmiEScNHSGDinqV7j84hWjmvH9SPwk	0	0	
2026-01-20T03:40:00+08:00	34	23	12	3371330.87	706102.04	2665228.83	0.209	0.350	0.695	0.106	2	0	0.424	EAi7pueCbhkioMb8kHtib2hrVWvTkhkPpNq4saHQfhFy	0	0	
2026-01-20T03:41:00+08:00	26	19	12	603528.98	6614460.04	-6010931.06	10.960	0.285	0.808	0.027	5	0	0.316	G6QzYZtEPBhVY1GJ68QkCQaCmaRs4G1JJN5qNLdsSxXp	0	0	
2026-01-20T03:42:00+08:00	18	15	10	1875863.67	198944.03	1676919.64	0.106	0.229	0.852	0.060	1	1	0.253	FnubyQ9qFZswWdsWE6fge4aWi7zPTvcaULnByDGofhVy	0	0	
